county_name,state,mobility_rate
Weber, UT,0.1876
Latimer, OK,0.1874
Klamath, OR,0.1872
Newton, TX,0.1869
Columbia, OR,0.1867
Terry, TX,0.1867
Taylor, TX,0.1865
Wood, TX,0.1861
New York, NY,0.1859
Burnet, TX,0.1859
Seneca, OH,0.1856
Polk, OR,0.1856
Clinton, PA,0.1853
Bailey, TX,0.1853
Allen, OH,0.1847
Huntingdon, PA,0.1847
Warren, PA,0.1845
Lubbock, TX,0.1844
Oklahoma, OK,0.1843
Tooele, UT,0.1843
Love, OK,0.184
Medina, TX,0.184
Sanpete, UT,0.1836
Sevier, UT,0.1836
New Hanover, NC,0.1833
Bedford, PA,0.1833
Dawson, TX,0.1828
Wasco, OR,0.1826
Venango, PA,0.1822
Rains, TX,0.1821
Carter, OK,0.182
Juniata, PA,0.182
Sandusky, OH,0.1818
Clatsop, OR,0.1818
Grand, UT,0.1817
Comanche, TX,0.1812
Orange, VT,0.1812
Atascosa, TX,0.1811
Bandera, TX,0.1811
Forsyth, NC,0.1806
Ashland, OH,0.1802
Floyd, TX,0.1801
Yamhill, OR,0.1798
Creek, OK,0.1797
Greenville, SC,0.1797
Wayne, OH,0.1793
Trumbull, OH,0.1792
Bosque, TX,0.1789
Sabine, TX,0.1788
Watauga, NC,0.178
Iron, UT,0.1779
Upshur, TX,0.1778
Garvin, OK,0.1777
Llano, TX,0.1777
Union, NC,0.1776
Knox, TN,0.1776
Coleman, TX,0.1776
Greer, OK,0.1775
Guilford, NC,0.1774
Grayson, TX,0.1773
Nueces, TX,0.1773
Brown, TX,0.1772
Yates, NY,0.1768
Guadalupe, TX,0.1767
Marion, OR,0.1766
Wallowa, OR,0.1764
Fulton, PA,0.1763
Juab, UT,0.1762
Union, OR,0.1757
Van Zandt, TX,0.1757
Humphreys, TN,0.1755
Childress, TX,0.1754
Beaufort, SC,0.1753
Moore, NC,0.1752
Lorain, OH,0.1752
Haskell, TX,0.1752
Pickaway, OH,0.1751
Jasper, TX,0.175
Nowata, OK,0.1748
Grant, OR,0.1748
Kaufman, TX,0.1743
Aiken, SC,0.1742
Runnels, TX,0.1742
Williams, OH,0.1741
Harney, OR,0.174
Lamoille, VT,0.1736
Knox, OH,0.1734
Brooks, TX,0.1732
Umatilla, OR,0.1731
Tom Green, TX,0.1729
Cabarrus, NC,0.1725
Caledonia, VT,0.1723
Durham, NC,0.1721
Shelby, TX,0.1715
Montgomery, OH,0.1712
Kings, NY,0.1711
Dallas, TX,0.171
Palo Pinto, TX,0.1707
Hopkins, TX,0.1703
Harrison, TX,0.1701
Hill, TX,0.1701
Limestone, TX,0.17
Linn, OR,0.1699
Hood River, OR,0.1698
Jackson, OR,0.1698
Franklin, TX,0.1697
Orleans, NY,0.1696
Pitt, NC,0.1696
Columbiana, OH,0.1696
Athens, OH,0.1691
Dorchester, SC,0.1688
Mifflin, PA,0.1686
Polk, TX,0.1685
Angelina, TX,0.1683
Hunt, TX,0.1683
Baker, OR,0.168
Tyler, TX,0.1674
Hamilton, TN,0.1672
Huron, OH,0.1671
Hardeman, TX,0.1671
Sullivan, TN,0.167
Henderson, NC,0.1663
Pawnee, OK,0.1661
Anderson, TX,0.1661
Henderson, TX,0.166
Carteret, NC,0.1659
Logan, OH,0.1654
Licking, OH,0.1653
Pamlico, NC,0.165
Stanly, NC,0.165
Bowie, TX,0.1649
Pittsburg, OK,0.1648
Lampasas, TX,0.1646
Lamb, TX,0.1644
Curry, OR,0.1643
Kane, UT,0.1642
Marion, OH,0.1641
McLennan, TX,0.1637
San Saba, TX,0.1637
Osage, OK,0.1631
Crawford, OH,0.163
Rutherford, TN,0.163
Nacogdoches, TX,0.1628
Jackson, OK,0.1626
Cass, TX,0.1626
Lincoln, TN,0.1625
Grimes, TX,0.1625
Camden, NC,0.1624
Alamance, NC,0.1623
Bee, TX,0.1623
Dare, NC,0.162
Philadelphia, PA,0.1619
Cameron, PA,0.1616
Lincoln, OK,0.1615
Mayes, OK,0.1614
Orleans, VT,0.1614
Carroll, OH,0.1611
Wilbarger, TX,0.1611
Stephens, TX,0.161
Dallam, TX,0.1608
Morris, TX,0.1608
Bryan, OK,0.1607
Crosby, TX,0.1606
Hardin, OH,0.1605
Muskingum, OH,0.1605
Lincoln, OR,0.1604
Yadkin, NC,0.1598
York, SC,0.1597
Catawba, NC,0.159
Schuyler, NY,0.1586
Le Flore, OK,0.1586
Buncombe, NC,0.1582
Richland, OH,0.1582
Navarro, TX,0.1579
San Jacinto, TX,0.1579
Tillamook, OR,0.157
Douglas, OR,0.1567
Roane, TN,0.1567
Crook, OR,0.1565
Coos, OR,0.1555
Lincoln, NC,0.1553
Morrow, OH,0.1552
Champaign, OH,0.1551
Kiowa, OK,0.155
Franklin, TN,0.1547
Josephine, OR,0.1546
Chatham, NC,0.1544
Jim Hogg, TX,0.1544
Nash, NC,0.1541
Haskell, OK,0.1534
Camp, TX,0.1533
Oconee, SC,0.1532
Currituck, NC,0.153
Coal, OK,0.153
Gonzales, TX,0.1528
Bastrop, TX,0.1526
Cherokee, TX,0.152
Bexar, TX,0.1517
