cty,Name,Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall
cty27143,"Sibley County, MN",0.2749
cty25015,"Hampshire County, MA",0.2748
cty38083,"Sheridan County, ND",0.2746
cty31081,"Hamilton County, NE",0.2743
cty06001,"Alameda County, CA",0.2738
cty29183,"St. Charles County, MO",0.2738
cty27003,"Anoka County, MN",0.2737
cty27027,"Clay County, MN",0.2737
cty31095,"Jefferson County, NE",0.2736
cty18011,"Boone County, IN",0.2735
cty31129,"Nuckolls County, NE",0.2732
cty46003,"Aurora County, SD",0.2732
cty31179,"Wayne County, NE",0.273
cty08013,"Boulder County, CO",0.2729
cty27161,"Waseca County, MN",0.2728
cty27131,"Rice County, MN",0.2726
cty31107,"Knox County, NE",0.2723
cty29165,"Platte County, MO",0.272
cty32007,"Elko County, NV",0.272
cty46015,"Brule County, SD",0.2719
cty19077,"Guthrie County, IA",0.2717
cty29189,"St. Louis County, MO",0.2717
cty31017,"Brown County, NE",0.2716
cty20083,"Hodgeman County, KS",0.2716
cty31105,"Kimball County, NE",0.2713
cty08014,"Broomfield County, CO",0.2712
cty27169,"Winona County, MN",0.2709
cty20039,"Decatur County, KS",0.2706
cty49017,"Garfield County, UT",0.2704
cty13067,"Cobb County, GA",0.2703
cty08059,"Jefferson County, CO",0.2702
cty25001,"Barnstable County, MA",0.2701
cty31049,"Deuel County, NE",0.2701
cty19153,"Polk County, IA",0.27
cty27103,"Nicollet County, MN",0.27
cty55009,"Brown County, WI",0.2699
cty19181,"Warren County, IA",0.2697
cty24017,"Charles County, MD",0.2692
cty27113,"Pennington County, MN",0.2689
cty40045,"Ellis County, OK",0.2689
cty20193,"Thomas County, KS",0.2688
cty27117,"Pipestone County, MN",0.2686
cty19093,"Ida County, IA",0.2684
cty49029,"Morgan County, UT",0.2676
cty20053,"Ellsworth County, KS",0.2675
cty27101,"Murray County, MN",0.2674
cty19089,"Howard County, IA",0.2672
cty31089,"Holt County, NE",0.2672
cty18007,"Benton County, IN",0.2667
cty18127,"Porter County, IN",0.2667
cty27045,"Fillmore County, MN",0.2667
cty35011,"De Baca County, NM",0.2665
cty19157,"Poweshiek County, IA",0.2664
cty22059,"LaSalle Parish, LA",0.2661
cty31139,"Pierce County, NE",0.2661
cty41021,"Gilliam County, OR",0.2659
cty46069,"Hyde County, SD",0.2659
cty32011,"Eureka County, NV",0.2658
cty55065,"Lafayette County, WI",0.2657
cty27091,"Martin County, MN",0.2656
cty30065,"Musselshell County, MT",0.2656
cty20135,"Ness County, KS",0.2655
cty34033,"Salem County, NJ",0.2653
cty55043,"Grant County, WI",0.2653
cty19043,"Clayton County, IA",0.2652
cty19021,"Buena Vista County, IA",0.2651
cty20007,"Barber County, KS",0.2651
cty55087,"Outagamie County, WI",0.2651
cty56033,"Sheridan County, WY",0.2648
cty55047,"Green Lake County, WI",0.2647
cty20123,"Mitchell County, KS",0.2646
cty20165,"Rush County, KS",0.2646
cty26161,"Washtenaw County, MI",0.2644
cty19097,"Jackson County, IA",0.2643
cty17103,"Lee County, IL",0.2641
cty19019,"Buchanan County, IA",0.2639
cty27093,"Meeker County, MN",0.2639
cty20081,"Haskell County, KS",0.2636
cty20199,"Wallace County, KS",0.2636
cty27025,"Chisago County, MN",0.2635
cty31119,"Madison County, NE",0.2633
cty19047,"Crawford County, IA",0.2632
cty31067,"Gage County, NE",0.2628
cty19105,"Jones County, IA",0.2627
cty17089,"Kane County, IL",0.2626
cty19081,"Hancock County, IA",0.2622
cty26093,"Livingston County, MI",0.2622
cty49009,"Daggett County, UT",0.262
cty19113,"Linn County, IA",0.2616
cty31065,"Furnas County, NE",0.2615
cty36029,"Erie County, NY",0.2614
cty06059,"Orange County, CA",0.2611
cty31053,"Dodge County, NE",0.261
cty19073,"Greene County, IA",0.2609
cty20113,"McPherson County, KS",0.2608
cty31151,"Saline County, NE",0.2608
cty17049,"Effingham County, IL",0.2607
cty18063,"Hendricks County, IN",0.2607
cty19143,"Osceola County, IA",0.2606
cty30073,"Pondera County, MT",0.2604
cty27051,"Grant County, MN",0.2602
cty48065,"Carson County, TX",0.2598
cty17037,"DeKalb County, IL",0.2597
cty19015,"Boone County, IA",0.2597
cty56013,"Fremont County, WY",0.2594
cty19163,"Scott County, IA",0.2591
cty20171,"Scott County, KS",0.2588
cty40007,"Beaver County, OK",0.2588
cty06097,"Sonoma County, CA",0.2587
cty34007,"Camden County, NJ",0.2586
cty31125,"Nance County, NE",0.2585
cty18157,"Tippecanoe County, IN",0.2584
cty31131,"Otoe County, NE",0.2584
cty19005,"Allamakee County, IA",0.2583
cty48011,"Armstrong County, TX",0.2583
cty56045,"Weston County, WY",0.258
cty48425,"Somervell County, TX",0.258
cty46031,"Corson County, SD",0.2578
cty19197,"Wright County, IA",0.2577
cty20095,"Kingman County, KS",0.2576
cty26037,"Clinton County, MI",0.2575
cty29186,"Ste. Genevieve County, MO",0.2573
cty31121,"Merrick County, NE",0.257
cty18129,"Posey County, IN",0.2569
cty27009,"Benton County, MN",0.2567
cty27063,"Jackson County, MN",0.2567
cty19033,"Cerro Gordo County, IA",0.2566
cty19085,"Harrison County, IA",0.2566
cty30105,"Valley County, MT",0.2566
cty55063,"La Crosse County, WI",0.2566
cty17105,"Livingston County, IL",0.2564
cty20151,"Pratt County, KS",0.2561
cty27013,"Blue Earth County, MN",0.2559
cty31165,"Sioux County, NE",0.2559
cty26099,"Macomb County, MI",0.2556
cty06027,"Inyo County, CA",0.2554
cty18173,"Warrick County, IN",0.2554
cty27137,"St. Louis County, MN",0.2553
cty53043,"Lincoln County, WA",0.255
cty48421,"Sherman County, TX",0.2549
cty55039,"Fond du Lac County, WI",0.2547
cty19079,"Hamilton County, IA",0.2546
cty25007,"Dukes County, MA",0.2546
cty31009,"Blaine County, NE",0.2546
cty31019,"Buffalo County, NE",0.2545
cty41069,"Wheeler County, OR",0.2544
cty17073,"Henry County, IL",0.2541
cty06055,"Napa County, CA",0.254
cty16061,"Lewis County, ID",0.254
cty31055,"Douglas County, NE",0.2539
cty08019,"Clear Creek County, CO",0.2539
cty35021,"Harding County, NM",0.2539
cty19067,"Floyd County, IA",0.2537
cty55049,"Iowa County, WI",0.2535
cty30107,"Wheatland County, MT",0.2535
cty46055,"Haakon County, SD",0.2534
cty26111,"Midland County, MI",0.2531
cty55097,"Portage County, WI",0.2528
cty17129,"Menard County, IL",0.2527
cty13117,"Forsyth County, GA",0.2526
cty17085,"Jo Daviess County, IL",0.2526
cty31155,"Saunders County, NE",0.2526
cty17147,"Piatt County, IL",0.2525
cty13219,"Oconee County, GA",0.2523
cty19059,"Dickinson County, IA",0.2523
cty46091,"Marshall County, SD",0.2523
cty17099,"LaSalle County, IL",0.252
cty19087,"Henry County, IA",0.2517
cty31163,"Sherman County, NE",0.2515
cty55071,"Manitowoc County, WI",0.2514
cty27055,"Houston County, MN",0.2511
cty34009,"Cape May County, NJ",0.2507
cty19045,"Clinton County, IA",0.2506
cty31015,"Boyd County, NE",0.2506
cty19099,"Jasper County, IA",0.2505
cty08117,"Summit County, CO",0.2505
cty46057,"Hamlin County, SD",0.2504
cty31041,"Custer County, NE",0.2503
cty53023,"Garfield County, WA",0.25
cty31045,"Dawes County, NE",0.2499
cty31153,"Sarpy County, NE",0.2499
cty55141,"Wood County, WI",0.2499
cty27043,"Faribault County, MN",0.2498
cty27111,"Otter Tail County, MN",0.2497
cty08057,"Jackson County, CO",0.2497
cty22109,"Terrebonne Parish, LA",0.2495
cty09011,"New London County, CT",0.2493
cty18073,"Jasper County, IN",0.2493
cty13073,"Columbia County, GA",0.249
cty56007,"Carbon County, WY",0.249
cty19121,"Madison County, IA",0.2488
cty06051,"Mono County, CA",0.2487
cty22055,"Lafayette Parish, LA",0.2482
cty55073,"Marathon County, WI",0.2479
cty17067,"Hancock County, IL",0.2478
cty17123,"Marshall County, IL",0.2476
cty31093,"Howard County, NE",0.2475
cty19041,"Clay County, IA",0.2473
cty31001,"Adams County, NE",0.2473
cty27159,"Wadena County, MN",0.247
cty20017,"Chase County, KS",0.2468
cty08081,"Moffat County, CO",0.2467
cty19013,"Black Hawk County, IA",0.2467
cty22113,"Vermilion Parish, LA",0.2467
cty46053,"Gregory County, SD",0.2466
cty27061,"Itasca County, MN",0.2463
cty48045,"Briscoe County, TX",0.2463
cty17141,"Ogle County, IL",0.2461
cty46107,"Potter County, SD",0.2461
cty20067,"Grant County, KS",0.246
cty27075,"Lake County, MN",0.2459
cty27105,"Nobles County, MN",0.2459
cty31109,"Lancaster County, NE",0.2459
cty27165,"Watonwan County, MN",0.2457
cty31171,"Thomas County, NE",0.2457
cty27033,"Cottonwood County, MN",0.2453
cty19011,"Benton County, IA",0.2452
cty19071,"Fremont County, IA",0.245
cty19187,"Webster County, IA",0.2449
cty27097,"Morrison County, MN",0.2449
cty32013,"Humboldt County, NV",0.2449
cty31051,"Dixon County, NE",0.2448
cty30057,"Madison County, MT",0.2447
cty27099,"Mower County, MN",0.2446
cty20119,"Meade County, KS",0.2446
cty31101,"Keith County, NE",0.2445
cty55021,"Columbia County, WI",0.2443
cty19195,"Worth County, IA",0.2442
cty31175,"Valley County, NE",0.2442
cty18059,"Hancock County, IN",0.244
cty21037,"Campbell County, KY",0.2439
cty34013,"Essex County, NJ",0.2439
cty16037,"Custer County, ID",0.2439
cty25013,"Hampden County, MA",0.2438
cty56029,"Park County, WY",0.2437
cty22103,"St. Tammany Parish, LA",0.2434
cty46111,"Sanborn County, SD",0.2433
cty55035,"Eau Claire County, WI",0.2432
cty29041,"Chariton County, MO",0.243
cty08069,"Larimer County, CO",0.2429
cty13135,"Gwinnett County, GA",0.2428
cty27005,"Becker County, MN",0.2427
cty10003,"New Castle County, DE",0.2424
cty46095,"Mellette County, SD",0.2423
cty17157,"Randolph County, IL",0.2421
cty20163,"Rooks County, KS",0.2421
cty23005,"Cumberland County, ME",0.2421
cty31099,"Kearney County, NE",0.2415
cty22085,"Sabine Parish, LA",0.2414
cty24029,"Kent County, MD",0.2414
cty18159,"Tipton County, IN",0.2413
cty20145,"Pawnee County, KS",0.2412
cty16057,"Latah County, ID",0.241
cty06113,"Yolo County, CA",0.2409
cty22075,"Plaquemines Parish, LA",0.2409
cty40025,"Cimarron County, OK",0.2407
cty56015,"Goshen County, WY",0.2406
cty19003,"Adams County, IA",0.2406
cty48333,"Mills County, TX",0.24
cty08051,"Gunnison County, CO",0.2399
cty18051,"Gibson County, IN",0.2399
cty24041,"Talbot County, MD",0.2398
cty55033,"Dunn County, WI",0.2397
cty30015,"Chouteau County, MT",0.2396
cty20149,"Pottawatomie County, KS",0.2395
cty19069,"Franklin County, IA",0.2393
cty08091,"Ouray County, CO",0.2393
cty06079,"San Luis Obispo County, CA",0.2391
cty17019,"Champaign County, IL",0.2391
cty20101,"Lane County, KS",0.2391
cty30017,"Custer County, MT",0.2389
cty30039,"Granite County, MT",0.2389
cty46039,"Deuel County, SD",0.2388
cty55045,"Green County, WI",0.2385
cty08067,"La Plata County, CO",0.2384
cty19145,"Page County, IA",0.2383
cty55055,"Jefferson County, WI",0.2383
cty56043,"Washakie County, WY",0.2383
cty48417,"Shackelford County, TX",0.2378
cty17131,"Mercer County, IL",0.2377
cty06111,"Ventura County, CA",0.2376
cty08063,"Kit Carson County, CO",0.2376
cty29147,"Nodaway County, MO",0.2376
cty17179,"Tazewell County, IL",0.2375
cty19029,"Cass County, IA",0.2374
cty31025,"Cass County, NE",0.2374
cty33013,"Merrimack County, NH",0.2373
cty27071,"Koochiching County, MN",0.2372
cty17011,"Bureau County, IL",0.2371
cty18081,"Johnson County, IN",0.2371
cty33017,"Strafford County, NH",0.237
cty27029,"Clearwater County, MN",0.2369
cty06057,"Nevada County, CA",0.2368
cty55011,"Buffalo County, WI",0.2367
cty19117,"Lucas County, IA",0.2366
cty22087,"St. Bernard Parish, LA",0.2365
cty20143,"Ottawa County, KS",0.2363
cty22121,"West Baton Rouge Parish, LA",0.2361
cty35015,"Eddy County, NM",0.236
cty55095,"Polk County, WI",0.236
cty55139,"Winnebago County, WI",0.2359
cty32033,"White Pine County, NV",0.2358
cty20161,"Riley County, KS",0.2356
cty19129,"Mills County, IA",0.2352
cty17109,"McDonough County, IL",0.2351
cty27135,"Roseau County, MN",0.2348
cty19127,"Marshall County, IA",0.2347
cty31061,"Franklin County, NE",0.2347
cty20207,"Woodson County, KS",0.2347
cty19001,"Adair County, IA",0.2344
cty55027,"Dodge County, WI",0.2343
cty20023,"Cheyenne County, KS",0.2342
cty17117,"Macoupin County, IL",0.2341
cty26103,"Marquette County, MI",0.2341
cty56001,"Albany County, WY",0.234
cty08075,"Logan County, CO",0.2339
cty55117,"Sheboygan County, WI",0.2339
cty27017,"Carlton County, MN",0.2337
cty30093,"Silver Bow County, MT",0.2336
cty22039,"Evangeline Parish, LA",0.2332
cty20197,"Wabaunsee County, KS",0.233
cty27065,"Kanabec County, MN",0.2328
cty30031,"Gallatin County, MT",0.2328
cty08115,"Sedgwick County, CO",0.2328
cty29047,"Clay County, MO",0.2327
cty31037,"Colfax County, NE",0.2327
cty30111,"Yellowstone County, MT",0.2324
cty22001,"Acadia Parish, LA",0.2322
cty19183,"Washington County, IA",0.232
cty31111,"Lincoln County, NE",0.232
cty55085,"Oneida County, WI",0.232
cty08039,"Elbert County, CO",0.2318
cty20031,"Coffey County, KS",0.2317
cty55017,"Chippewa County, WI",0.2317
cty21039,"Carlisle County, KY",0.2317
cty19123,"Mahaska County, IA",0.2314
cty27059,"Isanti County, MN",0.2314
cty19137,"Montgomery County, IA",0.2312
cty17135,"Montgomery County, IL",0.2311
cty31123,"Morrill County, NE",0.231
cty18125,"Pike County, IN",0.2308
cty20183,"Smith County, KS",0.2305
cty21015,"Boone County, KY",0.2303
cty42113,"Sullivan County, PA",0.2303
cty06091,"Sierra County, CA",0.2302
cty17075,"Iroquois County, IL",0.2301
cty17173,"Shelby County, IL",0.2301
cty36007,"Broome County, NY",0.2301
cty30071,"Phillips County, MT",0.23
cty48317,"Martin County, TX",0.23
cty27077,"Lake of the Woods County, MN",0.2298
cty20147,"Phillips County, KS",0.2297
cty48319,"Mason County, TX",0.2296
cty25003,"Berkshire County, MA",0.2295
cty55061,"Kewaunee County, WI",0.2294
cty51157,"Rappahannock County, VA",0.2294
cty27023,"Chippewa County, MN",0.2293
cty08045,"Garfield County, CO",0.2292
cty21117,"Kenton County, KY",0.2286
cty06109,"Tuolumne County, CA",0.2284
cty06095,"Solano County, CA",0.2283
cty16007,"Bear Lake County, ID",0.2279
cty55111,"Sauk County, WI",0.2279
cty18147,"Spencer County, IN",0.2278
cty20153,"Rawlins County, KS",0.2278
cty31173,"Thurston County, NE",0.2277
cty49015,"Emery County, UT",0.2277
cty24015,"Cecil County, MD",0.2276
cty26043,"Dickinson County, MI",0.2275
cty27007,"Beltrami County, MN",0.2275
cty55099,"Price County, WI",0.2275
cty55127,"Walworth County, WI",0.2275
cty31073,"Gosper County, NE",0.2275
cty22063,"Livingston Parish, LA",0.2274
cty18137,"Ripley County, IN",0.2273
cty20045,"Douglas County, KS",0.2273
cty20141,"Osborne County, KS",0.2273
cty29051,"Cole County, MO",0.2273
cty26139,"Ottawa County, MI",0.2271
cty20085,"Jackson County, KS",0.2268
cty55069,"Lincoln County, WI",0.2266
cty36021,"Columbia County, NY",0.2264
cty17149,"Pike County, IL",0.2263
cty19193,"Woodbury County, IA",0.2263
cty22019,"Calcasieu Parish, LA",0.2262
cty55101,"Racine County, WI",0.2262
cty18083,"Knox County, IN",0.2261
cty26061,"Houghton County, MI",0.2261
cty18047,"Franklin County, IN",0.2259
cty26141,"Presque Isle County, MI",0.2258
cty27047,"Freeborn County, MN",0.2256
cty17167,"Sangamon County, IL",0.2255
cty53013,"Columbia County, WA",0.2255
cty06049,"Modoc County, CA",0.2254
cty22095,"St. John the Baptist Parish, LA",0.2254
cty17053,"Ford County, IL",0.2253
cty55121,"Trempealeau County, WI",0.2253
cty20109,"Logan County, KS",0.2251
cty30009,"Carbon County, MT",0.225
cty32005,"Douglas County, NV",0.2249
cty19107,"Keokuk County, IA",0.2248
cty20075,"Hamilton County, KS",0.2248
cty06087,"Santa Cruz County, CA",0.2246
cty26115,"Monroe County, MI",0.2243
cty20029,"Cloud County, KS",0.2241
cty29157,"Perry County, MO",0.2241
cty15003,"Honolulu County, HI",0.2239
cty55125,"Vilas County, WI",0.2239
cty17143,"Peoria County, IL",0.2238
cty27153,"Todd County, MN",0.2238
cty30101,"Toole County, MT",0.2238
cty31183,"Wheeler County, NE",0.2236
cty19063,"Emmet County, IA",0.2235
cty20167,"Russell County, KS",0.2235
cty21233,"Webster County, KY",0.2235
cty31021,"Burt County, NE",0.2235
cty18123,"Perry County, IN",0.2234
cty06063,"Plumas County, CA",0.2232
cty33009,"Grafton County, NH",0.2231
cty48031,"Blanco County, TX",0.2231
cty29033,"Carroll County, MO",0.223
cty08087,"Morgan County, CO",0.2229
cty17031,"Cook County, IL",0.2229
cty26063,"Huron County, MI",0.2228
cty30087,"Rosebud County, MT",0.2228
cty30103,"Treasure County, MT",0.2228
cty20069,"Gray County, KS",0.2228
cty19133,"Monona County, IA",0.2227
cty20027,"Clay County, KS",0.2227
cty17059,"Gallatin County, IL",0.2224
cty19173,"Taylor County, IA",0.2223
cty19051,"Davis County, IA",0.2222
cty26077,"Kalamazoo County, MI",0.2221
cty55023,"Crawford County, WI",0.2221
cty17119,"Madison County, IL",0.222
cty12109,"St. Johns County, FL",0.2218
cty31145,"Red Willow County, NE",0.2218
cty19135,"Monroe County, IA",0.2217
cty27001,"Aitkin County, MN",0.2215
cty20201,"Washington County, KS",0.2213
cty17035,"Cumberland County, IL",0.221
cty19039,"Clarke County, IA",0.221
cty19175,"Union County, IA",0.221
cty27035,"Crow Wing County, MN",0.221
cty31071,"Garfield County, NE",0.2209
cty17023,"Clark County, IL",0.2206
cty31161,"Sheridan County, NE",0.2206
cty48311,"McMullen County, TX",0.2206
cty18043,"Floyd County, IN",0.2205
cty12085,"Martin County, FL",0.2204
cty17033,"Crawford County, IL",0.2204
cty23031,"York County, ME",0.2204
cty17021,"Christian County, IL",0.2203
cty08047,"Gilpin County, CO",0.2203
cty20015,"Butler County, KS",0.2198
cty25011,"Franklin County, MA",0.2195
cty55029,"Door County, WI",0.2191
cty31147,"Richardson County, NE",0.219
cty55019,"Clark County, WI",0.219
cty31087,"Hitchcock County, NE",0.219
cty16035,"Clearwater County, ID",0.2188
cty17165,"Saline County, IL",0.2188
cty08095,"Phillips County, CO",0.2184
cty20127,"Morris County, KS",0.2183
cty55005,"Barron County, WI",0.2183
cty27095,"Mille Lacs County, MN",0.2177
cty35025,"Lea County, NM",0.2176
cty18029,"Dearborn County, IN",0.2175
cty55119,"Taylor County, WI",0.2175
cty20047,"Edwards County, KS",0.2172
cty31079,"Hall County, NE",0.217
cty36019,"Clinton County, NY",0.217
cty09015,"Windham County, CT",0.2169
cty12117,"Seminole County, FL",0.2169
cty18153,"Sullivan County, IN",0.2169
cty29063,"DeKalb County, MO",0.2168
cty28073,"Lamar County, MS",0.2165
cty13057,"Cherokee County, GA",0.2163
cty06005,"Amador County, CA",0.2161
cty36039,"Greene County, NY",0.216
cty22033,"East Baton Rouge Parish, LA",0.2156
cty20179,"Sheridan County, KS",0.2156
cty32027,"Pershing County, NV",0.2155
cty20087,"Jefferson County, KS",0.2154
cty55075,"Marinette County, WI",0.2153
cty17079,"Jasper County, IL",0.2151
cty26065,"Ingham County, MI",0.2151
cty29151,"Osage County, MO",0.2151
cty30059,"Meagher County, MT",0.2151
cty26045,"Eaton County, MI",0.215
cty40059,"Harper County, OK",0.2149
cty29075,"Gentry County, MO",0.2148
cty33005,"Cheshire County, NH",0.2148
cty17001,"Adams County, IL",0.2147
cty17185,"Wabash County, IL",0.2147
cty22053,"Jefferson Davis Parish, LA",0.2147
cty17161,"Rock Island County, IL",0.2145
cty19159,"Ringgold County, IA",0.2141
cty22051,"Jefferson Parish, LA",0.2141
cty31167,"Stanton County, NE",0.214
cty56021,"Laramie County, WY",0.214
cty08073,"Lincoln County, CO",0.214
cty17005,"Bond County, IL",0.2139
cty17091,"Kankakee County, IL",0.2139
cty36037,"Genesee County, NY",0.2139
cty20137,"Norton County, KS",0.2138
cty55107,"Rusk County, WI",0.2138
cty17071,"Henderson County, IL",0.2138
cty18181,"White County, IN",0.2134
cty17007,"Boone County, IL",0.2133
cty36011,"Cayuga County, NY",0.2131
cty55123,"Vernon County, WI",0.2131
cty30049,"Lewis and Clark County, MT",0.2128
cty30001,"Beaverhead County, MT",0.2127
cty06073,"San Diego County, CA",0.2126
cty30063,"Missoula County, MT",0.2126
cty19057,"Des Moines County, IA",0.2125
cty19111,"Lee County, IA",0.2125
cty31157,"Scotts Bluff County, NE",0.2124
cty16013,"Blaine County, ID",0.2123
cty26089,"Leelanau County, MI",0.2121
cty06083,"Santa Barbara County, CA",0.2119
cty18115,"Ohio County, IN",0.2119
cty20121,"Miami County, KS",0.2119
cty26053,"Gogebic County, MI",0.2118
cty08077,"Mesa County, CO",0.2116
cty17083,"Jersey County, IL",0.2115
cty50013,"Grand Isle County, VT",0.2114
cty06035,"Lassen County, CA",0.2113
cty17177,"Stephenson County, IL",0.2113
cty16065,"Madison County, ID",0.2112
cty30007,"Broadwater County, MT",0.2111
cty18089,"Lake County, IN",0.211
cty20103,"Leavenworth County, KS",0.2109
cty54103,"Wetzel County, WV",0.2109
cty21145,"McCracken County, KY",0.2107
cty32017,"Lincoln County, NV",0.2107
cty27115,"Pine County, MN",0.2105
cty08015,"Chaffee County, CO",0.2104
cty17015,"Carroll County, IL",0.2104
cty19171,"Tama County, IA",0.2104
cty20115,"Marion County, KS",0.2104
cty29031,"Cape Girardeau County, MO",0.2104
cty17137,"Morgan County, IL",0.2103
cty29019,"Boone County, MO",0.2103
cty08123,"Weld County, CO",0.2102
cty13121,"Fulton County, GA",0.2101
cty55059,"Kenosha County, WI",0.21
cty26081,"Kent County, MI",0.2098
cty17107,"Logan County, IL",0.2097
cty17095,"Knox County, IL",0.2095
cty28089,"Madison County, MS",0.2095
cty48087,"Collingsworth County, TX",0.2095
cty20177,"Shawnee County, KS",0.2094
cty22077,"Pointe Coupee Parish, LA",0.2093
cty19155,"Pottawattamie County, IA",0.2092
cty22047,"Iberville Parish, LA",0.2092
cty17065,"Hamilton County, IL",0.2091
cty17193,"White County, IL",0.2091
cty34001,"Atlantic County, NJ",0.2091
cty24043,"Washington County, MD",0.209
cty53019,"Ferry County, WA",0.2089
cty18001,"Adams County, IN",0.2088
cty18111,"Newton County, IN",0.2088
cty20009,"Barton County, KS",0.2088
cty26041,"Delta County, MI",0.2087
cty20157,"Republic County, KS",0.2086
cty12043,"Glades County, FL",0.2085
cty17041,"Douglas County, IL",0.2085
cty27087,"Mahnomen County, MN",0.2085
cty20019,"Chautauqua County, KS",0.2083
cty51017,"Bath County, VA",0.2082
cty33001,"Belknap County, NH",0.2081
cty33003,"Carroll County, NH",0.2081
cty26055,"Grand Traverse County, MI",0.2079
cty36025,"Delaware County, NY",0.2078
cty18031,"Decatur County, IN",0.2077
cty38005,"Benson County, ND",0.2077
cty29071,"Franklin County, MO",0.2074
cty18163,"Vanderburgh County, IN",0.2073
cty17195,"Whiteside County, IL",0.2072
cty26017,"Bay County, MI",0.207
cty17175,"Stark County, IL",0.207
cty29005,"Atchison County, MO",0.2069
cty20185,"Stafford County, KS",0.2068
cty26047,"Emmet County, MI",0.2066
cty06067,"Sacramento County, CA",0.2064
cty19179,"Wapello County, IA",0.2064
cty18005,"Bartholomew County, IN",0.2061
cty20139,"Osage County, KS",0.2059
cty30023,"Deer Lodge County, MT",0.2059
cty18141,"St. Joseph County, IN",0.2057
cty19101,"Jefferson County, IA",0.2057
cty20005,"Atchison County, KS",0.2056
cty20105,"Lincoln County, KS",0.2056
cty48151,"Fisher County, TX",0.2054
cty17159,"Richland County, IL",0.2052
cty18003,"Allen County, IN",0.2051
cty06009,"Calaveras County, CA",0.2048
cty19115,"Louisa County, IA",0.2048
cty18101,"Martin County, IN",0.2047
cty08007,"Archuleta County, CO",0.2045
cty16019,"Bonneville County, ID",0.2045
cty19139,"Muscatine County, IA",0.2045
cty26147,"St. Clair County, MI",0.2043
cty30041,"Hill County, MT",0.2042
cty55105,"Rock County, WI",0.2041
cty08093,"Park County, CO",0.204
cty20079,"Harvey County, KS",0.204
cty17115,"Macon County, IL",0.2035
cty26137,"Otsego County, MI",0.2032
cty33007,"Coos County, NH",0.2032
cty08121,"Washington County, CO",0.2031
cty21059,"Daviess County, KY",0.2031
cty22061,"Lincoln Parish, LA",0.2031
cty55031,"Douglas County, WI",0.2031
cty20129,"Morton County, KS",0.203
cty17125,"Mason County, IL",0.2029
cty08021,"Conejos County, CO",0.2028
cty26109,"Menominee County, MI",0.2028
cty28041,"Greene County, MS",0.2027
cty06043,"Mariposa County, CA",0.2026
cty22011,"Beauregard Parish, LA",0.2026
cty21067,"Fayette County, KY",0.2025
cty55135,"Waupaca County, WI",0.2024
cty49033,"Rich County, UT",0.2024
cty18171,"Warren County, IN",0.2023
cty19185,"Wayne County, IA",0.2022
cty48119,"Delta County, TX",0.2021
cty29117,"Livingston County, MO",0.202
cty31083,"Harlan County, NE",0.202
cty20169,"Saline County, KS",0.2019
cty20065,"Graham County, KS",0.2018
cty56003,"Big Horn County, WY",0.2017
cty20037,"Crawford County, KS",0.2016
cty46117,"Stanley County, SD",0.2015
cty48023,"Baylor County, TX",0.2015
cty55115,"Shawano County, WI",0.2011
cty30027,"Fergus County, MT",0.201
cty55083,"Oconto County, WI",0.201
cty20111,"Lyon County, KS",0.2009
cty48433,"Stonewall County, TX",0.2009
cty29037,"Cass County, MO",0.2008
cty22123,"West Carroll Parish, LA",0.2007
cty21225,"Union County, KY",0.2005
cty17077,"Jackson County, IL",0.2004
cty18033,"DeKalb County, IN",0.2003
cty20159,"Rice County, KS",0.2003
cty29219,"Warren County, MO",0.2003
cty06069,"San Benito County, CA",0.2001
cty16001,"Ada County, ID",0.2001
cty18061,"Harrison County, IN",0.2
cty36015,"Chemung County, NY",0.2
cty34017,"Hudson County, NJ",0.1999
cty06033,"Lake County, CA",0.1998
cty30013,"Cascade County, MT",0.1997
cty08029,"Delta County, CO",0.1996
cty20205,"Wilson County, KS",0.1996
cty36035,"Fulton County, NY",0.1996
cty08119,"Teller County, CO",0.1995
cty22097,"St. Landry Parish, LA",0.1995
cty26073,"Isabella County, MI",0.1995
cty48447,"Throckmorton County, TX",0.1994
cty42053,"Forest County, PA",0.1993
cty06011,"Colusa County, CA",0.1992
cty18131,"Pulaski County, IN",0.1992
cty12115,"Sarasota County, FL",0.1991
cty17201,"Winnebago County, IL",0.1991
cty26087,"Lapeer County, MI",0.199
cty48137,"Edwards County, TX",0.199
cty17039,"De Witt County, IL",0.1988
cty22101,"St. Mary Parish, LA",0.1988
cty24001,"Allegany County, MD",0.1987
cty48105,"Crockett County, TX",0.1987
cty06003,"Alpine County, CA",0.1983
cty18105,"Monroe County, IN",0.1981
cty18027,"Daviess County, IN",0.198
cty20191,"Sumner County, KS",0.1978
cty49001,"Beaver County, UT",0.1976
cty06007,"Butte County, CA",0.1974
cty22125,"West Feliciana Parish, LA",0.1972
cty17069,"Hardin County, IL",0.197
cty27057,"Hubbard County, MN",0.1969
cty31133,"Pawnee County, NE",0.1969
cty28121,"Rankin County, MS",0.1968
cty16085,"Valley County, ID",0.1968
cty20013,"Brown County, KS",0.1966
cty29163,"Pike County, MO",0.1965
cty18179,"Wells County, IN",0.1964
cty17187,"Warren County, IL",0.1963
cty26007,"Alpena County, MI",0.1963
cty06093,"Siskiyou County, CA",0.1961
cty30061,"Mineral County, MT",0.196
cty20077,"Harper County, KS",0.1959
